timestamp,icao24,callsign,aircraft_type,latitude,longitude,altitude_meters,velocity_m_s,estimated_co2_kg
2025-12-07T18:28:56.590617,e49406,GLO7748,DEFAULT,18.62,-65.8587,10972.8,243.91,79026.84
2025-12-07T18:28:56.590617,4b1815,SWR1ZB,A320,47.628,8.3688,1767.84,93.29,30259.54
2025-12-07T18:28:56.590617,a21b74,TWY235,DEFAULT,29.5432,-82.5648,12489.18,258.09,83621.16
2025-12-07T18:28:56.590617,c07d0b,CGVJE,DEFAULT,45.6141,-74.3684,350.52,46.44,15046.56
2025-12-07T18:28:56.590617,4b1817,SWR438A,A320,47.9476,7.3213,6096,188.89,61268.36
2025-12-07T18:28:56.590617,80162c,AXB813,DEFAULT,25.2303,55.405,15.24,84.96,27527.04
2025-12-07T18:28:56.590617,ac96b8,AAL3245,B737,33.9375,-118.3812,-15.24,77.72,23082.84
2025-12-07T18:28:56.590617,ae1fa3,EVANS01,DEFAULT,39.5895,-104.5323,1912.62,38.39,12438.36
2025-12-07T18:28:56.590617,aa3cbe,N759PA,DEFAULT,41.782,-111.852,,7.2,2332.8
2025-12-07T18:28:56.590617,a7b08d,LXJ595,DEFAULT,36.0807,-115.1723,,0.06,19.44
2025-12-07T18:28:56.590617,a2e5ec,SKW3818,E175,45.6098,-122.6343,152.4,72.36,17739.78
2025-12-07T18:28:56.590617,a3feec,N357BE,DEFAULT,44.752,-96.5827,4038.6,177.08,57373.92
2025-12-07T18:28:56.590617,aa56da,UAL2742,B737,39.8552,-104.6798,,0,0.0
2025-12-07T18:28:56.590617,39de4b,TVF17PT,DEFAULT,58.5601,16.3585,10584.18,227.39,73674.36
2025-12-07T18:28:56.590617,39de4d,TVF47ZR,DEFAULT,41.185,-2.8534,4335.78,137.5,44550.0
2025-12-07T18:28:56.590617,a808bb,N61697,DEFAULT,25.6553,-80.4111,243.84,32.82,10633.68
2025-12-07T18:28:56.590617,408121,VIR45W,DEFAULT,47.881,-63.1822,11277.6,209.59,67907.16
2025-12-07T18:28:56.590617,ade18c,AAL2019,B737,35.2492,-95.8172,9448.8,272.15,80828.55
2025-12-07T18:28:56.590617,39de4c,TVF70CT,DEFAULT,49.1505,12.9651,11292.84,255.79,82875.96
2025-12-07T18:28:56.590617,7c6b2b,JST226,DEFAULT,-37.7563,174.8078,4610.1,155.37,50339.88
2025-12-07T18:28:56.590617,a77ec5,EJA582,DEFAULT,28.8153,-96.9718,7139.94,227.19,73609.56
2025-12-07T18:28:56.590617,440da1,SKV222,DEFAULT,48.3449,11.8062,457.2,61.53,19935.72
2025-12-07T18:28:56.590617,ab6fdd,AAL3090,B737,35.4009,-84.1628,10972.8,170.22,50555.34
2025-12-07T18:28:56.590617,a3b87f,DAL1038,A320,27.8271,-80.0746,8534.4,222.76,72254.43
2025-12-07T18:28:56.590617,c07d20,JZA7962,DEFAULT,45.4305,-73.805,274.32,64.82,21001.68
2025-12-07T18:28:56.590617,801643,AXB1025,DEFAULT,19.0909,73.0221,784.86,91.07,29506.68
2025-12-07T18:28:56.590617,a57b1e,ERY45,DEFAULT,33.7792,-81.4484,13106.4,208.9,67683.6
2025-12-07T18:28:56.590617,440da6,JAR37,DEFAULT,51.3,6.795,190.5,58.03,18801.72
2025-12-07T18:28:56.590617,39de53,TVF14JR,DEFAULT,42.2687,8.5263,11582.4,204.61,66293.64
2025-12-07T18:28:56.590617,a305fd,SKW4116,E175,34.8128,-91.1072,10363.2,182.74,44800.54
2025-12-07T18:28:56.590617,a34230,EJA309,DEFAULT,37.5138,-101.1086,12192,192.46,62357.04
2025-12-07T18:28:56.590617,aa56d8,UAL2291,B737,33.4335,-112.0065,,0,0.0
2025-12-07T18:28:56.590617,a4d86a,LXJ411,DEFAULT,29.3368,-88.0771,13106.4,187.08,60613.92
2025-12-07T18:28:56.590617,a08b9f,N134SB,DEFAULT,39.9475,-74.2617,160.02,42.1,13640.4
2025-12-07T18:28:56.590617,a34e6a,ENY3892,E175,34.3671,-116.709,9448.8,268.83,65906.36
2025-12-07T18:28:56.590617,a0e278,N156WL,DEFAULT,34.3042,-92.1306,1905,119.71,38786.04
2025-12-07T18:28:56.590617,4b1807,SWR4EY,A320,48.8687,2.2287,11277.6,240.57,78031.29
2025-12-07T18:28:56.590617,ad4f0b,DAL2908,A320,39.0437,-94.6617,1577.34,119.42,38735.07
2025-12-07T18:28:56.590617,ae0197,SPAR551,DEFAULT,38.244,-86.6146,11277.6,262.26,84972.24
2025-12-07T18:28:56.590617,0d0c01,XBBTE,DEFAULT,25.8675,-100.2334,,4.37,1415.88
2025-12-07T18:28:56.590617,ae0195,SPAR501,DEFAULT,36.4451,-98.1589,11887.2,251.02,81330.48
2025-12-07T18:28:56.590617,4b1800,SWR316T,A320,50.1923,1.8263,11315.7,208.14,67512.29
2025-12-07T18:28:56.590617,a665bd,N511GA,DEFAULT,32.6584,-82.0016,4838.7,90.66,29373.84
2025-12-07T18:28:56.590617,a53eef,UPS910,DEFAULT,38.0661,-85.7447,1402.08,119.4,38685.6
2025-12-07T18:28:56.590617,408111,LOG25BR,DEFAULT,53.5053,-3.052,3657.6,109.76,35562.24
2025-12-07T18:28:56.590617,acdfa6,AAL1504,B737,32.9222,-97.0322,,8.75,2598.75
2025-12-07T18:28:56.590617,801650,AXB2679,DEFAULT,13.6954,77.7401,3909.06,176.3,57121.2
2025-12-07T18:28:56.590617,c822c6,CVA641,DEFAULT,-38.9709,174.9756,4572,107.52,34836.48
2025-12-07T18:28:56.590617,ac4963,DAL2074,A320,44.5065,-102.962,10363.2,208.9,67758.8
2025-12-07T18:28:56.590617,a9a0fb,N7198Q,DEFAULT,27.9377,-81.9574,716.28,50.43,16339.32
2025-12-07T18:28:56.590617,aaef60,AAL1923,B737,41.4515,-106.8165,9144,197.7,58716.9
2025-12-07T18:28:56.590617,a3b88e,AAL1875,B737,33.9292,-85.4321,11277.6,217.44,64579.68
2025-12-07T18:28:56.590617,a3ebe2,N3517S,DEFAULT,40.1548,-105.1791,1767.84,49.09,15905.16
2025-12-07T18:28:56.590617,00b22d,SAA366,DEFAULT,-33.9828,18.6986,1424.94,129.3,41893.2
2025-12-07T18:28:56.590617,880443,AIQ125,DEFAULT,25.5934,91.7795,6057.9,190.93,61861.32
2025-12-07T18:28:56.590617,4952cc,TAP1361,DEFAULT,44.0324,-5.9207,11285.22,203.93,66073.32
2025-12-07T18:28:56.590617,aed922,BGST416,DEFAULT,29.7863,-100.6969,8534.4,123.69,40075.56
2025-12-07T18:28:56.590617,4952cd,TAP555,DEFAULT,42.517,-2.6603,11277.6,212.33,68794.92
2025-12-07T18:28:56.590617,4952ce,TAP1542,DEFAULT,38.8613,-9.0931,480.06,66.88,21669.12
2025-12-07T18:28:56.590617,a665c5,GJS4425,DEFAULT,41.3987,-74.3691,2110.74,128.84,41744.16
2025-12-07T18:28:56.590617,a7d5a5,N6036Y,DEFAULT,38.3824,-121.4181,1104.9,54.48,17651.52
2025-12-07T18:28:56.590617,a4c54a,N4060G,DEFAULT,36.2218,-115.1706,762,43.75,14175.0
2025-12-07T18:28:56.590617,ad3c16,AAL2290,B737,30.0694,-81.1605,9174.48,218.42,64870.74
2025-12-07T18:28:56.590617,a5954e,UAL8191,B737,41.9704,-87.9154,,8.23,2444.31
2025-12-07T18:28:56.590617,0d0c19,TAA708,DEFAULT,37.6757,-86.7361,4846.32,128.12,41510.88
2025-12-07T18:28:56.590617,abacb6,SCX8764,DEFAULT,36.1909,-91.0595,11582.4,214.83,69604.92
2025-12-07T18:28:56.590617,0d0c18,GMT735,DEFAULT,17.1693,-97.8735,9448.8,234.6,76010.4
2025-12-07T18:28:56.590617,4952d0,TAP94VA,DEFAULT,45.4525,4.2886,9890.76,217.15,70356.6
2025-12-07T18:28:56.590617,a1befc,UAL1119,B737,22.785,-89.2655,11887.2,245.06,72782.82
